SCE Folder Name,WFD_Shapefile,Extra shapefiles 1,Extra shapefiles 2
Adur,ADUR,,
Alde_ore,ALDE & ORE,,
Aln,ALN,,
Alt,ALT,,
Arun,ARUN,,
Avon,AVON,,
Axe,AXE,,
Beaulieu,BEAULIEU RIVER,,
Blackwater,BLACKWATER,,
Blythe_north,BLYTH (N),,
Blythe_south,BLYTH (S),,
Bristol_avon,BRISTOL AVON,,
Bure,BURE & WAVENEY & YARE & LOTHING,,
Burn,BURN,,
Camel,CAMEL,,
Chichester,CHICHESTER HARBOUR,,
Christchurch,CHRISTCHURCH HARBOUR,,
Colne,COLNE,,
Coquet,COQUET,,
Crouch,CROUCH,,
Cuckmere,CUCKMERE,,
Dart,DART,,
Deben,DEBEN,,
Derwent,DERWENT,,
Duddon,DUDDON,,
Eastern_yar,EASTERN YAR,,
Erme,ERME,,
Esk_east,ESK (E),,
Esk_west,ESK (W),,
Exe,EXE,,
Falmouth,CARRICK ROADS INNER,,
Fowey,FOWEY,,
Gannel,GANNEL,,
Great_ouse,GREAT OUSE,,
Hayle,HAYLE,,
Helford,HELFORD,,
Humber,HUMBER LOWER,HUMBER MIDDLE,HUMBER UPPER
Kent,KENT,,
Kingsbridge,KINGSBRIDGE,,
Langstone,LANGSTONE HARBOUR,,
Leven,LEVEN,,
Looe,LOOE,,
Lune,LUNE,,
Lymington,LYMINGTON,,
Maryport,MARYPORT,,
Medina,MEDINA,,
Medway,MEDWAY,,
Mersey,MERSEY,,
Nene,NENE,,
Newtown_river,NEWTOWN RIVER,,
Orwell,ORWELL,,
Otter,OTTER,,
Ouse,OUSE,,
Pagham,PAGHAM HARBOUR,,
Parrett,PARRETT,,
Plymouth,PLYMOUTH TAMAR,,
Poole,POOLE HARBOUR,,
Portsmouth,PORTSMOUTH HARBOUR,,
Ribble,RIBBLE,,
Rother,ROTHER,,
Severn,SEVERN MIDDLE,SEVERN UPPER,
Solway,SOLWAY,,
Southampton,SOUTHAMPTON WATER,,
Stiffkey,STIFFKEY & GLAVEN,,
Stour_essex,STOUR (ESSEX),,
Stour_kent,STOUR (KENT),,
Swale,SWALE,,
Taw_Torridge,TAW / TORRIDGE,,
Tees,TEES,,
Teign,TEIGN,,
Thames,THAMES LOWER,THAMES MIDDLE,THAMES UPPER
Tweed,TWEED,,
Tyne,TYNE,,
Wansbeck,WANSBECK,,
Wash_inner,WASH INNER,,
Wear,WEAR,,
Welland,WELLAND,,
Western_yar,WESTERN YAR,,
Wey,WEY,,
Witham,WITHAM,,
Wootton_creek,WOOTTON CREEK,,
Wyre,WYRE,,
Yealm,YEALM,,
